           k            Ek                       w                       |<f||O||0>|^2
           1   0.0000000000000000        2.2245798536497250        7.1390692779971754E-035
           2   0.0000000000000000        2.2245798536497250        6.7159936609868569E-034
           3   0.0000000000000000        2.2245798536497250        2.0208799163502417E-032
           4   0.0000000000000000        2.2245798536497250        2.9783367168928639E-035
           5   0.0000000000000000        2.2245798536497250        4.8090640551771773E-034
           6   0.0000000000000000        2.2245798536497250        2.9771059093613426E-032
           7   0.0000000000000000        2.2245798536497250        5.4567107440154359E-035
           8   0.0000000000000000        2.2245798536497250        2.3805790848909863E-033
           9   0.0000000000000000        2.2245798536497250        2.8804012003823687E-033
          10   0.0000000000000000        2.2245798536497250        1.4487618932574914E-033
          11   0.0000000000000000        2.2245798536497250        1.0437601952111072E-033
          12   0.0000000000000000        2.2245798536497250        7.4847288481390965E-034
          13   0.0000000000000000        2.2245798536497250        3.4707053994293004E-033
          14   0.0000000000000000        2.2245798536497250        3.0852836489992133E-033
          15   0.0000000000000000        2.2245798536497250        2.3383460661865629E-032
          16   0.0000000000000000        2.2245798536497250        1.5317872695596150E-032
          17   0.0000000000000000        2.2245798536497250        1.9900549739864904E-034
          18   0.0000000000000000        2.2245798536497250        2.1118059039618183E-033
          19   0.0000000000000000        2.2245798536497250        1.2060458480447025E-033
          20   0.0000000000000000        2.2245798536497250        3.0036141815919839E-033
          21   0.0000000000000000        2.2245798536497250        4.3213867930350443E-033
          22   0.0000000000000000        2.2245798536497250        3.2592373048978979E-033
          23   0.0000000000000000        2.2245798536497250        7.3118193142535397E-033
          24   0.0000000000000000        2.2245798536497250        1.1485832324132298E-032
          25   0.0000000000000000        2.2245798536497250        1.6071472150168374E-033
          26   8.2343779480617371E-002   2.3069236331303422        3.4698814940840570E-006
          27  0.40366974887124391        2.6282496025209690        4.7370931099052684E-006
          28   1.0197278789374133        3.2443077325871386        3.5520258313709698E-006
          29   1.9391355901013301        4.1637154437510553        2.2701019724445229E-006
          30   3.1626733371226434        5.3872531907723680        1.3935410628486402E-006
          31   4.6901007711340696        6.9146806247837951        8.6007015342838604E-007
          32   6.5211068394077749        8.7456866930575003        5.4300478683345271E-007
          33   8.6554677816254930        10.880047635275218        3.5247712019394929E-007
          34   11.093054363845225        13.317634217494950        2.3521240571917667E-007
          35   13.833810548558805        16.058390402208531        1.6100291849817115E-007
          36   16.877733241916300        19.102313095566025        1.1271410281076404E-007
          37   20.224860061817768        22.449439915467494        8.0453880171484879E-008
          38   23.875265926762452        26.099845780412178        5.8372346600014330E-008
          39   27.829067795039922        30.053647648689648        4.2919965856440534E-008
          40   32.086437493432264        34.311017347081986        3.1888005005883185E-008
          41   36.647623254894206        38.872203108543928        2.3869070619980620E-008
          42   41.512979760294641        43.737559613944363        1.7946559639238355E-008
          43   46.683006993774441        48.907586847424163        1.3511541461040695E-008
          44   52.158396821898528        54.382976675548250        1.0152118405683755E-008
          45   57.940085338407187        60.164665192056908        7.5850242988606721E-009
          46   64.029305831874524        66.253885685524253        5.6123370648898548E-009
          47   70.427637816132616        72.652217669782345        4.0935039223181138E-009
          48   77.137043246543215        79.361623100192944        2.9268789520227165E-009
          49   84.159883817833801        86.384463671483530        2.0373656742651967E-009
          50   91.498911053747605        93.723490907397334        1.3680625412267172E-009
          51   99.157228527683145        101.38180838133287        8.7464608339082052E-010
          52   107.13822300170551        109.36280285535524        5.2164507688166460E-010
          53   115.44547327467322        117.67005312832295        2.8005042450857046E-010
          54   124.08263928958297        126.30721914323270        1.2582701631386404E-010
          55   133.05334541463171        135.27792526828142        3.9014873547803403E-011
          56   142.36105787471280        144.58563772836251        3.1669104966608845E-012
          57   152.00896982698919        154.23354968063890        4.9568645102527051E-012
          58   161.99988575870717        164.22446561235688        3.3846247470599933E-011
          59   172.33611782972469        174.56069768337440        8.1757626151407110E-011
          60   183.01938209816277        185.24396195181248        1.4273589821582426E-010
          61   194.05071689550749        196.27529674915721        2.1259667779133907E-010
          62   205.43041652921497        207.65499638286468        2.8857341161842701E-010
          63   217.15802495684306        219.38260481049278        3.6896496729371841E-010
          64   229.23239100956866        231.45697086321837        4.5279786980088930E-010
          65   241.65183996280749        243.87641981645720        5.3950601401018147E-010
          66   254.41442489829046        256.63900475194021        6.2866670495384649E-010
          67   267.51823814133513        269.74281799498488        7.1983267451872265E-010
          68   280.96158404850604        283.18616390215578        8.1254518917344032E-010
          69   294.74282443806788        296.96740429171763        9.0656914220259141E-010
          70   308.85956639897006        311.08414625261980        1.0023542960507787E-009
          71   323.30707092572072        325.53165077937047        1.1015808954993325E-009
          72   338.07577561010345        340.30035546375319        1.2075838613274223E-009
          73   353.14806872778996        355.37264858143971        1.3253170726807237E-009
          74   368.49422190638057        370.71880176003032        1.4602756827779002E-009
          75   384.06769245072473        386.29227230437448        1.6147606400998898E-009
          76   399.80151727355911        402.02609712720886        1.7777020536107743E-009
          77   415.61442610515689        417.83900595880664        1.9034846207005165E-009
          78   431.44806048130971        433.67264033495945        1.8933199333270393E-009
          79   447.34842281523584        449.57300266888558        1.6467214993027671E-009
          80   463.51354697280397        465.73812682645371        1.2046164037866672E-009
          81   480.18397137863286        482.40855123228260        7.5237810200299227E-010
          82   497.48508305943187        499.70966291308162        4.2276284538092743E-010
          83   515.41496918009170        517.63954903374145        2.2448318523034628E-010
          84   533.91991014666212        536.14449000031186        1.1584925309671502E-010
          85   552.94572433560029        555.17030418925003        5.8730968139745718E-011
          86   572.45280785166892        574.67738770531867        2.9284386620675483E-011
          87   592.41584861752744        594.64042847117719        1.4319600272046207E-011
          88   612.82018747133247        615.04476732498222        6.8366776455510137E-012
          89   633.65850381087000        635.88308366451975        3.1721641257142523E-012
          90   654.92840492529035        657.15298477894009        1.4240473482401998E-012
          91   676.63078723702949        678.85536709067924        6.1597677842120561E-013
          92   698.76873730230852        700.99331715595827        2.5576246881165517E-013
          93   721.34680693604741        723.57138678969716        1.0158523007787090E-013
          94   744.37054249365747        746.59512234730721        3.8470290172755758E-014
          95   767.84619110153051        770.07077095518025        1.3847227204008773E-014
          96   791.78052618352854        794.00510603717828        4.7229356724093904E-015
          97   816.18075265254299        818.40533250619274        1.5217633196039028E-015
          98   841.05446239540811        843.27904224905785        4.6176650999310698E-016
          99   866.40962066103054        868.63420051468029        1.3153809777837517E-016
         100   892.25457046214535        894.47915031579510        3.5058660304867750E-017
